 time            time            v(rfp)          v(lop)          voutdiff       
 2.26500000e-08  2.26500000e-08  8.51455181e-01  1.15000000e+00 -2.66805624e-02 
 2.27500000e-08  2.27500000e-08  8.51394956e-01  1.15000000e+00 -2.55962616e-02 
 2.28500000e-08  2.28500000e-08  8.51334510e-01  1.15000000e+00 -2.45079007e-02 
 2.29500000e-08  2.29500000e-08  8.51273854e-01  1.15000000e+00 -2.34156523e-02 
 2.30500000e-08  2.30500000e-08  8.51212996e-01  1.15000000e+00 -2.23196895e-02 
 2.31500000e-08  2.31500000e-08  8.51151947e-01  1.15000000e+00 -2.12201860e-02 
 2.32500000e-08  2.32500000e-08  8.51090716e-01  1.15000000e+00 -2.01173161e-02 
 2.33500000e-08  2.33500000e-08  8.51029313e-01  1.15000000e+00 -1.90112546e-02 
 2.34500000e-08  2.34500000e-08  8.50967747e-01  1.15000000e+00 -1.79021769e-02 
 2.35500000e-08  2.35500000e-08  8.50906029e-01  1.15000000e+00 -1.67902588e-02 
 2.36500000e-08  2.36500000e-08  8.50844167e-01  1.15000000e+00 -1.56756768e-02 
 2.37500000e-08  2.37500000e-08  8.50782172e-01  1.15000000e+00 -1.45586075e-02 
 2.38500000e-08  2.38500000e-08  8.50720054e-01  1.15000000e+00 -1.34392282e-02 
 2.39500000e-08  2.39500000e-08  8.50657822e-01  1.15000000e+00 -1.23177164e-02 
 2.40500000e-08  2.40500000e-08  8.50595486e-01  1.15000000e+00 -1.11942501e-02 
 2.41500000e-08  2.41500000e-08  8.50533056e-01  1.15000000e+00 -1.00690075e-02 
 2.42500000e-08  2.42500000e-08  8.50470542e-01  1.15000000e+00 -8.94216702e-03 
 2.43500000e-08  2.43500000e-08  8.50407953e-01  1.15000000e+00 -7.81390759e-03 
 2.44500000e-08  2.44500000e-08  8.50345300e-01  1.15000000e+00 -6.68440819e-03 
 2.45500000e-08  2.45500000e-08  8.50282593e-01  1.15000000e+00 -5.55384805e-03 
 2.46500000e-08  2.46500000e-08  8.50219841e-01  1.15000000e+00 -4.42240659e-03 
 2.47500000e-08  2.47500000e-08  8.50157054e-01  1.15000000e+00 -3.29026335e-03 
 2.48500000e-08  2.48500000e-08  8.50094242e-01  1.15000000e+00 -2.15759801e-03 
 2.49500000e-08  2.49500000e-08  8.50031416e-01  1.15000000e+00 -1.02459031e-03 
 2.50500000e-08  2.50500000e-08  8.49968584e-01  1.15000000e+00  1.08579928e-04 
 2.51500000e-08  2.51500000e-08  8.49905758e-01  1.15000000e+00  1.24173287e-03 
 2.52500000e-08  2.52500000e-08  8.49842946e-01  1.15000000e+00  2.37468868e-03 
 2.53500000e-08  2.53500000e-08  8.49780159e-01  1.15000000e+00  3.50726756e-03 
 2.54250000e-08  2.54250000e-08  8.49733092e-01  1.15000000e+00  4.35634906e-03 
