 frequency       gain_db         phase_deg      
 1.02920053e+06  1.26266381e+00  1.79995889e+02 
 1.05925373e+06  1.26266380e+00  1.79995769e+02 
 1.09018449e+06  1.26266380e+00  1.79995646e+02 
 1.12201845e+06  1.26266380e+00  1.79995519e+02 
 1.15478198e+06  1.26266380e+00  1.79995388e+02 
 1.18850223e+06  1.26266380e+00  1.79995253e+02 
 1.22320712e+06  1.26266380e+00  1.79995114e+02 
 1.25892541e+06  1.26266380e+00  1.79994972e+02 
 1.29568670e+06  1.26266379e+00  1.79994825e+02 
 1.33352143e+06  1.26266379e+00  1.79994674e+02 
 1.37246096e+06  1.26266379e+00  1.79994518e+02 
 1.41253754e+06  1.26266379e+00  1.79994358e+02 
 1.45378439e+06  1.26266379e+00  1.79994194e+02 
 1.49623566e+06  1.26266379e+00  1.79994024e+02 
 1.53992653e+06  1.26266378e+00  1.79993849e+02 
 1.58489319e+06  1.26266378e+00  1.79993670e+02 
 1.63117291e+06  1.26266378e+00  1.79993485e+02 
 1.67880402e+06  1.26266378e+00  1.79993295e+02 
 1.72782598e+06  1.26266377e+00  1.79993099e+02 
 1.77827941e+06  1.26266377e+00  1.79992898e+02 
 1.83020611e+06  1.26266377e+00  1.79992690e+02 
 1.88364909e+06  1.26266376e+00  1.79992477e+02 
 1.93865264e+06  1.26266376e+00  1.79992257e+02 
 1.99526231e+06  1.26266375e+00  1.79992031e+02 
 2.05352503e+06  1.26266375e+00  1.79991798e+02 
 2.11348904e+06  1.26266375e+00  1.79991559e+02 
 2.17520403e+06  1.26266374e+00  1.79991312e+02 
 2.23872114e+06  1.26266374e+00  1.79991058e+02 
 2.30409298e+06  1.26266373e+00  1.79990797e+02 
 2.37137371e+06  1.26266373e+00  1.79990529e+02 
 2.44061907e+06  1.26266372e+00  1.79990252e+02 
 2.51188643e+06  1.26266371e+00  1.79989967e+02 
 2.58523484e+06  1.26266371e+00  1.79989675e+02 
 2.66072506e+06  1.26266370e+00  1.79989373e+02 
 2.73841963e+06  1.26266369e+00  1.79989063e+02 
 2.81838293e+06  1.26266369e+00  1.79988743e+02 
 2.90068120e+06  1.26266368e+00  1.79988415e+02 
 2.98538262e+06  1.26266367e+00  1.79988076e+02 
 3.07255737e+06  1.26266366e+00  1.79987728e+02 
 3.16227766e+06  1.26266365e+00  1.79987370e+02 
 3.25461783e+06  1.26266364e+00  1.79987001e+02 
 3.34965439e+06  1.26266363e+00  1.79986621e+02 
 3.44746607e+06  1.26266362e+00  1.79986231e+02 
 3.54813389e+06  1.26266361e+00  1.79985829e+02 
 3.65174127e+06  1.26266359e+00  1.79985415e+02 
