 frequency       frequency       frequency       cgate           cgate          
 4.21696503e+07  4.21696503e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.46683592e+07  4.46683592e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.73151259e+07  4.73151259e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.01187234e+07  5.01187234e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.30884444e+07  5.30884444e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.62341325e+07  5.62341325e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.95662144e+07  5.95662144e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.30957344e+07  6.30957344e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.68343918e+07  6.68343918e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.07945784e+07  7.07945784e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.49894209e+07  7.49894209e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.94328235e+07  7.94328235e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.41395142e+07  8.41395142e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.91250938e+07  8.91250938e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 9.44060876e+07  9.44060876e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.00000000e+08  1.00000000e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.05925373e+08  1.05925373e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.12201845e+08  1.12201845e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.18850223e+08  1.18850223e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.25892541e+08  1.25892541e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.33352143e+08  1.33352143e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.41253754e+08  1.41253754e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.49623566e+08  1.49623566e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.58489319e+08  1.58489319e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.67880402e+08  1.67880402e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.77827941e+08  1.77827941e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.88364909e+08  1.88364909e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.99526231e+08  1.99526231e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.11348904e+08  2.11348904e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.23872114e+08  2.23872114e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.37137371e+08  2.37137371e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.51188643e+08  2.51188643e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.66072506e+08  2.66072506e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.81838293e+08  2.81838293e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
