 time            time            v(n1)           v(n2)           v(n3)           i(vdd)         
 1.16280000e-10  1.16280000e-10  1.38104431e+00 -4.44154505e-02  1.77682176e+00 -2.01795349e-03 
 1.17280000e-10  1.17280000e-10  1.31286068e+00 -5.01487259e-02  1.77747658e+00 -1.99996439e-03 
 1.18280000e-10  1.18280000e-10  1.24220119e+00 -5.58355554e-02  1.77808883e+00 -1.99944280e-03 
 1.19280000e-10  1.19280000e-10  1.16919764e+00 -6.11359175e-02  1.77873447e+00 -2.00197343e-03 
 1.20280000e-10  1.20280000e-10  1.09423575e+00 -6.56409324e-02  1.77949381e+00 -2.03577398e-03 
 1.21280000e-10  1.21280000e-10  1.01856409e+00 -6.88117602e-02  1.78045259e+00 -2.06401205e-03 
 1.22280000e-10  1.22280000e-10  9.43676208e-01 -7.00934442e-02  1.78170151e+00 -2.10907145e-03 
 1.23280000e-10  1.23280000e-10  8.70506165e-01 -6.90480085e-02  1.78331431e+00 -2.14350451e-03 
 1.24280000e-10  1.24280000e-10  7.99860855e-01 -6.52867711e-02  1.78534092e+00 -2.19296726e-03 
 1.25280000e-10  1.25280000e-10  7.32396150e-01 -5.84707529e-02  1.78781249e+00 -2.22881435e-03 
 1.26280000e-10  1.26280000e-10  6.68617093e-01 -4.83038169e-02  1.79074664e+00 -2.27593362e-03 
 1.27280000e-10  1.27280000e-10  6.08885817e-01 -3.45192347e-02  1.79415325e+00 -2.30518576e-03 
 1.28280000e-10  1.28280000e-10  5.53433497e-01 -1.68508183e-02  1.79804277e+00 -2.34095612e-03 
 1.29280000e-10  1.29280000e-10  5.02345298e-01  5.11796355e-03  1.80245836e+00 -2.35168594e-03 
 1.30280000e-10  1.30280000e-10  4.53950885e-01  3.39054692e-02  1.80786797e+00 -2.36210299e-03 
 1.31280000e-10  1.31280000e-10  4.08014732e-01  6.98015368e-02  1.81425050e+00 -2.36558886e-03 
 1.32280000e-10  1.32280000e-10  3.66415147e-01  1.10233074e-01  1.82102149e+00 -2.37585416e-03 
 1.33280000e-10  1.33280000e-10  3.28966872e-01  1.55008243e-01  1.82814188e+00 -2.36732677e-03 
 1.34280000e-10  1.34280000e-10  2.95410148e-01  2.03546307e-01  1.83550459e+00 -2.37599550e-03 
 1.35280000e-10  1.35280000e-10  2.65449396e-01  2.55178378e-01  1.84300161e+00 -2.36943385e-03 
 1.36280000e-10  1.36280000e-10  2.38805318e-01  3.09546547e-01  1.85060409e+00 -2.37303855e-03 
 1.37280000e-10  1.37280000e-10  2.15192141e-01  3.66302966e-01  1.85829251e+00 -2.36243537e-03 
 1.38280000e-10  1.38280000e-10  1.94326563e-01  4.25117847e-01  1.86605672e+00 -2.36301225e-03 
 1.39280000e-10  1.39280000e-10  1.75942108e-01  4.85765217e-01  1.87387748e+00 -2.34931698e-03 
 1.40280000e-10  1.40280000e-10  1.59786701e-01  5.48069214e-01  1.88155912e+00 -2.35373189e-03 
 1.41280000e-10  1.41280000e-10  1.45794526e-01  6.11556227e-01  1.88867588e+00 -2.35415511e-03 
 1.42280000e-10  1.42280000e-10  1.34387610e-01  6.74944378e-01  1.89463555e+00 -2.36448015e-03 
 1.43280000e-10  1.43280000e-10  1.25449243e-01  7.37150327e-01  1.89892482e+00 -2.35995968e-03 
 1.44280000e-10  1.44280000e-10  1.18252368e-01  7.97776305e-01  1.90121116e+00 -2.36672863e-03 
 1.45280000e-10  1.45280000e-10  1.12294572e-01  8.56465014e-01  1.90120265e+00 -2.36125312e-03 
 1.46280000e-10  1.46280000e-10  1.07208120e-01  9.12924026e-01  1.89864922e+00 -2.36796770e-03 
 1.47280000e-10  1.47280000e-10  1.02721645e-01  9.66923417e-01  1.89333703e+00 -2.36207996e-03 
 1.48280000e-10  1.48280000e-10  9.86351389e-02  1.01829053e+00  1.88508117e+00 -2.36708612e-03 
 1.49280000e-10  1.49280000e-10  9.48025663e-02  1.06690367e+00  1.87371651e+00 -2.35746382e-03 
 1.50280000e-10  1.50280000e-10  9.11192072e-02  1.11268583e+00  1.85908633e+00 -2.35608418e-03 
 1.51280000e-10  1.51280000e-10  8.75122724e-02  1.15559957e+00  1.84102568e+00 -2.33676268e-03 
 1.52280000e-10  1.52280000e-10  8.39344417e-02  1.19564688e+00  1.81933024e+00 -2.32136913e-03 
 1.53280000e-10  1.53280000e-10  8.03634388e-02  1.23289482e+00  1.79366658e+00 -2.28143788e-03 
 1.54280000e-10  1.54280000e-10  7.68420521e-02  1.26771981e+00  1.76316631e+00 -2.23394946e-03 
 1.55280000e-10  1.55280000e-10  7.38485519e-02  1.30284845e+00  1.72414373e+00 -2.15922717e-03 
 1.56280000e-10  1.56280000e-10  7.13522772e-02  1.33845224e+00  1.67568992e+00 -2.09176083e-03 
 1.57280000e-10  1.57280000e-10  6.86734203e-02  1.37122233e+00  1.62203859e+00 -2.04715969e-03 
 1.58280000e-10  1.58280000e-10  6.58839492e-02  1.40147564e+00  1.56440955e+00 -2.03553901e-03 
 1.59280000e-10  1.59280000e-10  6.30279164e-02  1.42941381e+00  1.50365258e+00 -2.02488355e-03 
 1.60280000e-10  1.60280000e-10  6.01283863e-02  1.45516181e+00  1.44009665e+00 -2.01881082e-03 
 1.61280000e-10  1.61280000e-10  5.72084758e-02  1.47884960e+00  1.37406820e+00 -2.01373999e-03 
