 frequency       frequency       frequency       vdb(out)        vp(out)        
 5.78761988e+02  5.78761988e+02  0.00000000e+00  1.01213154e+02  1.64921275e+00 
 5.95662144e+02  5.95662144e+02  0.00000000e+00  1.00964645e+02  1.64699665e+00 
 6.13055792e+02  6.13055792e+02  0.00000000e+00  1.00716054e+02  1.64484269e+00 
 6.30957344e+02  6.30957344e+02  0.00000000e+00  1.00467383e+02  1.64274920e+00 
 6.49381632e+02  6.49381632e+02  0.00000000e+00  1.00218639e+02  1.64071449e+00 
 6.68343918e+02  6.68343918e+02  0.00000000e+00  9.99698250e+01  1.63873695e+00 
 6.87859912e+02  6.87859912e+02  0.00000000e+00  9.97209448e+01  1.63681502e+00 
 7.07945784e+02  7.07945784e+02  0.00000000e+00  9.94720022e+01  1.63494714e+00 
 7.28618175e+02  7.28618175e+02  0.00000000e+00  9.92230007e+01  1.63313183e+00 
 7.49894209e+02  7.49894209e+02  0.00000000e+00  9.89739436e+01  1.63136763e+00 
 7.71791516e+02  7.71791516e+02  0.00000000e+00  9.87248339e+01  1.62965312e+00 
 7.94328235e+02  7.94328235e+02  0.00000000e+00  9.84756746e+01  1.62798692e+00 
 8.17523038e+02  8.17523038e+02  0.00000000e+00  9.82264684e+01  1.62636770e+00 
 8.41395142e+02  8.41395142e+02  0.00000000e+00  9.79772180e+01  1.62479413e+00 
 8.65964323e+02  8.65964323e+02  0.00000000e+00  9.77279257e+01  1.62326495e+00 
 8.91250938e+02  8.91250938e+02  0.00000000e+00  9.74785939e+01  1.62177893e+00 
 9.17275935e+02  9.17275935e+02  0.00000000e+00  9.72292249e+01  1.62033484e+00 
 9.44060876e+02  9.44060876e+02  0.00000000e+00  9.69798206e+01  1.61893154e+00 
 9.71627952e+02  9.71627952e+02  0.00000000e+00  9.67303831e+01  1.61756786e+00 
 1.00000000e+03  1.00000000e+03  0.00000000e+00  9.64809142e+01  1.61624271e+00 
 1.02920053e+03  1.02920053e+03  0.00000000e+00  9.62314157e+01  1.61495500e+00 
 1.05925373e+03  1.05925373e+03  0.00000000e+00  9.59818891e+01  1.61370369e+00 
 1.09018449e+03  1.09018449e+03  0.00000000e+00  9.57323361e+01  1.61248775e+00 
 1.12201845e+03  1.12201845e+03  0.00000000e+00  9.54827582e+01  1.61130619e+00 
 1.15478198e+03  1.15478198e+03  0.00000000e+00  9.52331567e+01  1.61015805e+00 
 1.18850223e+03  1.18850223e+03  0.00000000e+00  9.49835329e+01  1.60904238e+00 
 1.22320712e+03  1.22320712e+03  0.00000000e+00  9.47338881e+01  1.60795827e+00 
 1.25892541e+03  1.25892541e+03  0.00000000e+00  9.44842235e+01  1.60690484e+00 
 1.29568670e+03  1.29568670e+03  0.00000000e+00  9.42345401e+01  1.60588122e+00 
 1.33352143e+03  1.33352143e+03  0.00000000e+00  9.39848390e+01  1.60488657e+00 
 1.37246096e+03  1.37246096e+03  0.00000000e+00  9.37351213e+01  1.60392008e+00 
 1.41253754e+03  1.41253754e+03  0.00000000e+00  9.34853877e+01  1.60298095e+00 
 1.45378439e+03  1.45378439e+03  0.00000000e+00  9.32356393e+01  1.60206841e+00 
 1.49623566e+03  1.49623566e+03  0.00000000e+00  9.29858768e+01  1.60118171e+00 
 1.53992653e+03  1.53992653e+03  0.00000000e+00  9.27361010e+01  1.60032012e+00 
 1.58489319e+03  1.58489319e+03  0.00000000e+00  9.24863127e+01  1.59948294e+00 
 1.63117291e+03  1.63117291e+03  0.00000000e+00  9.22365126e+01  1.59866947e+00 
 1.67880402e+03  1.67880402e+03  0.00000000e+00  9.19867013e+01  1.59787904e+00 
 1.72782598e+03  1.72782598e+03  0.00000000e+00  9.17368795e+01  1.59711101e+00 
 1.77827941e+03  1.77827941e+03  0.00000000e+00  9.14870476e+01  1.59636473e+00 
 1.83020611e+03  1.83020611e+03  0.00000000e+00  9.12372064e+01  1.59563961e+00 
 1.88364909e+03  1.88364909e+03  0.00000000e+00  9.09873564e+01  1.59493503e+00 
 1.93865264e+03  1.93865264e+03  0.00000000e+00  9.07374979e+01  1.59425042e+00 
 1.99526231e+03  1.99526231e+03  0.00000000e+00  9.04876315e+01  1.59358521e+00 
 2.05352503e+03  2.05352503e+03  0.00000000e+00  9.02377576e+01  1.59293886e+00 
 2.11348904e+03  2.11348904e+03  0.00000000e+00  8.99878767e+01  1.59231083e+00 
 2.17520403e+03  2.17520403e+03  0.00000000e+00  8.97379892e+01  1.59170060e+00 
 2.23872114e+03  2.23872114e+03  0.00000000e+00  8.94880953e+01  1.59110766e+00 
