 time            time            v(n1)           v(n2)           v(n3)           v(n4)           v(n5)          
 9.48579830e-11  9.48579830e-11  3.44679793e-01  2.50250168e+00  5.41973276e-02  2.36566651e+00  6.20654109e-01 
 9.58579830e-11  9.58579830e-11  3.79124075e-01  2.50617197e+00  5.19487888e-02  2.37092749e+00  5.91423241e-01 
 9.68579830e-11  9.68579830e-11  4.15066271e-01  2.50985421e+00  4.98025454e-02  2.37599822e+00  5.63423876e-01 
 9.78579830e-11  9.78579830e-11  4.52428638e-01  2.51354564e+00  4.77533980e-02  2.38088213e+00  5.36630270e-01 
 9.88579830e-11  9.88579830e-11  4.91147057e-01  2.51722808e+00  4.57954534e-02  2.38558343e+00  5.11014803e-01 
 9.98579830e-11  9.98579830e-11  5.31166103e-01  2.52085297e+00  4.39214611e-02  2.39010964e+00  4.86548271e-01 
 1.00857983e-10  1.00857983e-10  5.72418690e-01  2.52436253e+00  4.21239149e-02  2.39446765e+00  4.63199041e-01 
 1.01857983e-10  1.01857983e-10  6.14830812e-01  2.52770338e+00  4.03960167e-02  2.39866389e+00  4.40933657e-01 
 1.02857983e-10  1.02857983e-10  6.58329909e-01  2.53082024e+00  3.87311981e-02  2.40270438e+00  4.19717567e-01 
 1.03857983e-10  1.03857983e-10  7.02849001e-01  2.53365641e+00  3.71231196e-02  2.40659457e+00  3.99512407e-01 
 1.04857983e-10  1.04857983e-10  7.48331181e-01  2.53615423e+00  3.55656969e-02  2.41033941e+00  3.80277036e-01 
 1.05857983e-10  1.05857983e-10  7.94722403e-01  2.53825411e+00  3.40530718e-02  2.41394389e+00  3.61974439e-01 
 1.06857983e-10  1.06857983e-10  8.41679231e-01  2.53984704e+00  3.25780848e-02  2.41742591e+00  3.44808369e-01 
 1.07857983e-10  1.07857983e-10  8.88837395e-01  2.54083980e+00  3.11345541e-02  2.42080086e+00  3.28912835e-01 
 1.08857983e-10  1.08857983e-10  9.36077323e-01  2.54118523e+00  2.97176748e-02  2.42406769e+00  3.14145901e-01 
 1.09857983e-10  1.09857983e-10  9.83268720e-01  2.54082026e+00  2.83219347e-02  2.42722426e+00  3.00395684e-01 
 1.10857983e-10  1.10857983e-10  1.03028588e+00  2.53968337e+00  2.69423432e-02  2.43026956e+00  2.87564274e-01 
 1.11857983e-10  1.11857983e-10  1.07700916e+00  2.53771484e+00  2.55743846e-02  2.43320342e+00  2.75565098e-01 
 1.12857983e-10  1.12857983e-10  1.12332596e+00  2.53485696e+00  2.42139717e-02  2.43602636e+00  2.64321030e-01 
 1.13857983e-10  1.13857983e-10  1.16913140e+00  2.53105405e+00  2.28573996e-02  2.43873946e+00  2.53762985e-01 
 1.14857983e-10  1.14857983e-10  1.21432873e+00  2.52625241e+00  2.15012982e-02  2.44134423e+00  2.43828856e-01 
